ModuleName,Total_ms,LoadLibrary_ms,GetSymbol_ms,CreateInstance_ms,StartupModule_ms,Status,FileSize_bytes,MemoryUsed_bytes,NumExportedFunctions,NumExportedNames,NumImportedDlls
,86.29,86.282,0.001,0.006,0.001,OK,129536,602112,30,30,14
,82.237,79.689,0.001,0.003,2.543,OK,113152,2531328,16,16,11
,79.157,78.927,0.001,0.003,0.225,OK,572928,1163264,104,104,32
,78.927,78.873,0.001,0.007,0.047,OK,1584128,13750272,120,120,28
,78.28,78.277,0.001,0.001,0.002,OK,177664,1593344,10,10,18
,1649.974,77.077,0.001,0.006,1572.891,OK,3782656,1503232,134,134,37
,76.852,76.85,0.001,0.001,0.001,OK,221696,5902336,199,199,12
,76.855,76.837,0.001,0.005,0.012,OK,81408,3682304,1,1,9
,76.67,76.663,0.001,0.004,0.002,OK,102912,380928,17,17,12
,76.332,76.313,0.001,0.006,0.011,OK,242176,3129344,174,174,19
,80.047,76.144,0.001,0.005,3.898,OK,4329472,2928640,568,568,41
,79.564,76.131,0.001,0.003,3.429,OK,707584,864256,201,201,28
,76.109,76.08,0.001,0.006,0.023,OK,573440,29138944,105,105,23
,4463.215,75.386,0.001,0.006,4387.822,OK,233472,241664,58,58,11
,75.303,75.269,0.002,0.004,0.028,OK,373760,2383872,71,71,17
,74.695,74.692,0.001,0.001,0.002,OK,103936,9945088,27,27,12
,72.036,72.011,0.001,0,0.024,OK,308224,0,40,40,18
,67.858,67.587,0.001,0.007,0.264,OK,1266176,5132288,747,747,39
,66.968,66.798,0.001,0.007,0.163,OK,1108992,4624384,10,10,28
,65.29,65.251,0.001,0.002,0.036,OK,3006464,1224704,86,86,29
,65.179,65.126,0.001,0.005,0.047,OK,716800,1150976,729,729,39
,64.739,64.625,0.001,0.006,0.106,OK,264192,1208320,117,117,15
,64.615,64.582,0.001,0.005,0.027,OK,275968,3063808,17,17,14
,71.734,64.179,0.001,0.009,7.545,OK,1726976,1167360,88,88,30
,63.514,61.092,0.001,0.005,2.416,OK,400384,1449984,15,15,17
,60.868,60.52,0.001,0.003,0.344,OK,449536,532480,248,248,20
,63.789,60.488,0.002,0.005,3.295,OK,342016,823296,52,52,21
,60.293,60.289,0.001,0,0.002,OK,90112,454656,2,2,13
,59.736,59.718,0.001,0.011,0.006,OK,66560,18083840,9,9,10
,59.886,59.675,0.002,0.005,0.204,OK,1190400,2240512,82,82,22
,59.705,59.625,0.001,0.001,0.079,OK,166400,2174976,4,4,15
,59.619,59.602,0.001,0,0.016,OK,295424,2392064,123,123,14
,62.035,58.741,0.001,0.006,3.287,OK,2956800,1343488,230,230,36
,59.539,58.663,0.001,0.004,0.872,OK,2016256,1204224,187,187,46
,62.202,58.455,0.001,0.003,3.745,OK,3312640,1736704,759,759,21
,56.871,56.865,0.001,0.004,0.001,OK,550912,995328,26,26,16
,57.535,56.852,0.001,0,0.682,OK,199680,536576,33,33,11
,56.855,56.849,0.001,0.003,0.003,OK,152576,0,103,103,18
,56.655,56.568,0.001,0.003,0.082,OK,269824,5660672,7,7,19
,56.33,56.294,0.001,0.006,0.03,OK,857088,3362816,31,31,28
,55.941,55.905,0.004,0.006,0.026,OK,142336,331546624,1,1,14
,55.777,55.774,0.001,0.001,0.001,OK,197120,2134016,3,3,18
,57.842,55.595,0.001,0.004,2.242,OK,8281088,3522560,427,427,54
,57.126,55.462,0,0.005,1.659,OK,652288,1331200,96,96,22
,55.47,55.359,0,0.004,0.106,OK,3018752,35110912,1080,1080,15
,55.34,55.292,0,0.019,0.029,OK,549376,3588096,368,368,16
,55.286,55.207,0.001,0.004,0.074,OK,472576,1105920,8,8,19
,55.695,55.094,0.001,0.004,0.596,OK,3542016,1273856,36,36,27
,54.825,54.819,0.001,0.005,0.001,OK,199168,561152,66,66,15
,54.328,54.323,0.001,0.002,0.001,OK,411648,696320,160,160,9
,54.339,54.185,0.001,0.005,0.148,OK,1528320,7520256,88,88,26
,54.342,54.142,0.001,0.002,0.197,OK,2372096,626688,67,67,32
,54.036,54.001,0.001,0.007,0.027,OK,2536448,1396736,66,66,32
,53.929,53.922,0.001,0.004,0.002,OK,173568,1073152,26,26,19
,53.862,53.729,0.001,0.005,0.127,OK,1058816,4169728,370,370,22
,53.295,53.293,0.001,0,0.001,OK,214528,589824,217,217,21
,53.312,53.121,0.001,0.009,0.181,OK,217088,20639744,15,15,17
,53.076,53.039,0.001,0.003,0.033,OK,145920,3653632,3,3,17
,52.755,52.75,0.001,0.003,0.001,OK,198144,204800,26,26,15
,52.244,52.219,0.001,0.001,0.024,OK,12654080,1843200,176,176,19
,52.174,52.145,0.001,0.006,0.022,OK,603136,757760,533,533,27
,51.867,51.831,0.001,0.009,0.027,OK,72704,860160,1,1,9
,51.814,51.794,0.002,0.008,0.01,OK,1458688,4612096,563,563,33
,52.287,51.789,0.001,0.005,0.491,OK,317952,405504,83,83,20
,51.678,51.676,0.001,0,0.001,OK,354304,3129344,146,146,22
,52.051,51.368,0,0.002,0.68,OK,210944,266240,70,70,18
,51.358,51.341,0.001,0.002,0.015,OK,153088,634880,64,64,20
,50.962,50.96,0,0,0.001,OK,81408,626688,23,23,10
,50.99,50.8,0.001,0.004,0.186,OK,215040,2535424,23,23,12
,51.162,50.715,0.001,0.002,0.444,OK,683008,479232,228,228,20
,49.945,49.918,0.001,0.005,0.021,OK,5928960,2285568,1996,1996,40
,164.068,49.551,0.001,0.006,114.51,OK,1316352,3473408,2,2,23
,49.545,49.512,0,0.003,0.029,OK,2132480,946176,707,707,26
,51.457,49.127,0,0.006,2.324,OK,1771520,1196032,346,346,41
,49.331,49.119,0.001,0.004,0.208,OK,425984,507904,60,60,17
,48.731,48.65,0.001,0.004,0.077,OK,1544704,671744,55,55,19
,48.764,48.593,0.001,0.003,0.168,OK,693760,1064960,634,634,21
,48.605,48.581,0.001,0.001,0.022,OK,659456,6950912,362,362,17
,48.763,48.577,0.001,0.005,0.179,OK,454144,12349440,12,12,22
,48.588,48.576,0,0,0.012,OK,179712,176128,88,88,12
,48.628,48.417,0.001,0.007,0.204,OK,157184,5300224,30,30,11
,48.032,48.003,0.002,0,0.027,OK,314368,675840,85,85,15
,47.911,47.905,0.001,0.003,0.002,OK,80384,2416640,37,37,8
,47.728,47.724,0.001,0,0.002,OK,11386880,5828608,1,1,15
,48.056,47.412,0.001,0.005,0.638,OK,1614848,5316608,70,70,20
,47.737,47.407,0.001,0.003,0.326,OK,83456,192512,11,11,11
,47.324,47.306,0.004,0.006,0.008,OK,86016,294912,1,1,11
,47.043,47.025,0.001,0.009,0.008,OK,239616,4591616,2,2,9
,46.361,46.358,0.001,0.001,0.001,OK,82432,266240,21,21,10
,46.24,46.234,0.001,0.004,0.001,OK,3216384,1236992,210,210,20
,46.126,46.121,0.001,0.003,0.001,OK,586752,987136,81,81,20
,46.062,46.058,0.002,0.001,0.001,OK,80896,499712,2,2,8
,45.716,45.708,0.001,0.005,0.002,OK,3570688,1658880,284,284,27
,45.659,45.597,0.001,0.003,0.058,OK,2324480,2752512,361,361,25
,45.419,45.409,0.001,0.008,0.001,OK,106496,12070912,2,2,10
,45.682,45.346,0.001,0,0.335,OK,367104,438272,205,205,12
,45.03,45.004,0.001,0.004,0.021,OK,336896,14045184,64,64,19
,44.86,44.855,0.001,0.002,0.002,OK,103424,2707456,34,34,11
,45.511,44.807,0.001,0.004,0.699,OK,137216,258048,13,13,14
,44.658,44.638,0.001,0,0.02,OK,414720,548864,143,143,11
,46.669,43.719,0.001,0,2.949,OK,2081792,602112,181,181,56
,43.712,43.709,0,0,0.001,OK,199168,380928,107,107,18
,52.204,42.526,0.001,0.003,9.675,OK,17139200,1929216,297,297,47
,42.366,42.242,0.001,0.004,0.119,OK,1023488,8224768,408,408,23
,132.965,40.8,0.001,0.007,92.158,OK,613376,4354048,46,46,17
,40.687,40.684,0.001,0.001,0.001,OK,1223168,1441792,1,1,23
,41.702,40.36,0.001,0.007,1.333,OK,4147712,1347584,662,662,43
,55.181,40.263,0.001,0.003,14.913,OK,936448,2330624,6,6,19
,40.351,40.057,0.001,0.001,0.293,OK,58880,4509696,10,10,12
,39.846,39.794,0.001,0.003,0.048,OK,783872,524288,87,87,21
,39.578,39.569,0.001,0.007,0.001,OK,667648,761856,811,811,43
,39.152,39.139,0.001,0.007,0.005,OK,423936,446464,75,75,21
,39.129,39.084,0.004,0.007,0.035,OK,244224,233472,33,33,10
,39.047,39.034,0.003,0.007,0.003,OK,169472,323584,19,19,16
,39.078,39.004,0.001,0,0.073,OK,1173504,557056,191,191,39
,65.213,38.922,0.001,0.004,26.287,OK,4760064,3182592,492,492,32
,49.906,38.658,0.002,0.005,11.241,OK,809472,270336,594,594,25
,38.644,38.63,0.002,0.006,0.006,OK,1575424,1204224,17,17,26
,38.853,38.549,0,0.005,0.299,OK,601600,3780608,18,18,18
,38.657,38.414,0.001,0.001,0.241,OK,6761472,13000704,2869,2869,23
,40.09,38.223,0.002,0.008,1.857,OK,901120,3444736,160,160,20
,38.218,38.157,0.002,0.015,0.044,OK,136704,212992,1,1,11
,38.865,37.92,0.003,0.008,0.934,OK,1186304,1110016,33,33,39
,37.77,37.726,0.001,0.006,0.037,OK,656384,552960,521,521,12
,41.579,37.442,0.001,0.004,4.132,OK,4844032,0,56,56,39
,37.243,37.187,0.001,0.004,0.052,OK,79872,15368192,2,2,8
,36.94,36.905,0.001,0.006,0.028,OK,257024,172032,23,23,15
,38.554,36.846,0.001,0.012,1.695,OK,2213376,937984,74,74,30
,40.119,36.484,0,0.008,3.627,OK,3414528,17080320,29,29,33
,36.441,36.436,0.003,0,0.002,OK,183808,540672,14,14,23
,36.439,36.401,0.003,0.011,0.023,OK,94208,0,1,1,14
,37.156,36.295,0.001,0.004,0.856,OK,875008,491520,10,10,24
,36.229,36.218,0.001,0.007,0.004,OK,312320,6307840,4,4,13
,35.722,35.719,0.001,0,0.002,OK,161280,253952,70,70,10
,38.078,35.658,0.002,0.011,2.407,OK,294912,270336,33,33,13
,35.686,35.545,0.001,0.009,0.131,OK,1302016,3690496,186,186,17
,35.503,35.459,0.001,0.006,0.036,OK,434176,3371008,20,20,19
,35.419,35.392,0.001,0.008,0.018,OK,99840,3440640,1,1,13
,35.406,35.374,0.002,0.009,0.022,OK,97280,3952640,1,1,14
,35.351,35.342,0.002,0.006,0.001,OK,320512,143360,70,70,14
,35.297,35.293,0.001,0,0.002,OK,142848,4206592,9,9,16
,35.385,35.258,0.001,0.007,0.119,OK,274432,716800,2,2,20
,38.503,35.091,0.001,0.005,3.405,OK,3341312,5660672,72,72,26
,35,34.992,0.002,0.005,0.001,OK,388608,389120,498,498,18
,35.303,34.795,0.002,0.001,0.506,OK,338432,3821568,115,115,23
,36.434,34.647,0.001,0.009,1.777,OK,3063808,0,24,24,25
,34.621,34.618,0.001,0.001,0.001,OK,76288,143360,1,1,10
,34.62,34.616,0.001,0.001,0.002,OK,133120,225280,22,22,14
,63.442,34.575,0.001,0.001,28.866,OK,147456,507904,39,39,10
,34.479,34.457,0.001,0.009,0.012,OK,73728,4243456,10,10,8
,34.557,34.423,0.001,0.005,0.128,OK,1232384,11636736,366,366,15
,34.531,34.366,0.001,0.004,0.16,OK,500224,397312,224,224,20
,34.359,34.352,0.001,0.005,0.001,OK,816640,806912,733,733,37
,34.305,34.297,0.002,0.005,0.002,OK,148480,512000,21,21,14
,34.595,34.22,0.002,0.008,0.365,OK,487424,1761280,8,8,23
,34.196,34.165,0.002,0.01,0.019,OK,156672,73728,81,81,16
,34.106,34.099,0.001,0.004,0.002,OK,1287680,823296,523,523,16
,33.942,33.939,0.001,0,0.002,OK,185344,229376,96,96,12
,33.896,33.892,0.002,0.001,0.001,OK,47616,36864,1,1,5
,37.125,33.77,0.003,0.013,3.339,OK,664576,860160,19,19,18
,33.786,33.769,0.003,0.011,0.004,OK,172032,102400,2,2,21
,33.75,33.719,0.001,0.003,0.028,OK,149504,110592,4,4,14
,34.56,33.699,0.001,0.005,0.854,OK,514048,0,67,67,15
,33.673,33.647,0.001,0.01,0.015,OK,74240,53248,10,10,8
,33.617,33.609,0.001,0.005,0.002,OK,149504,135168,13,13,12
,33.64,33.598,0.001,0.006,0.035,OK,446976,176128,11,11,21
,33.42,33.417,0,0.002,0.001,OK,138752,102400,51,51,10
,34.43,33.386,0.002,0.012,1.03,OK,620032,0,1,1,21
,34.328,33.352,0.002,0.005,0.969,OK,1101312,5238784,94,94,26
,33.353,33.332,0.001,0.003,0.018,OK,153600,303104,73,73,15
,33.361,33.317,0.001,0,0.043,OK,727040,737280,776,776,40
,33.379,33.3,0.001,0,0.077,OK,179712,188416,2,2,19
,33.97,33.275,0.001,0.006,0.688,OK,424960,307200,51,51,18
,33.26,33.239,0.001,0.008,0.011,OK,481792,385024,191,191,16
,33.197,33.173,0.001,0,0.023,OK,206848,135168,227,227,16
,58.335,33.164,0.001,0.005,25.164,OK,1689600,4079616,272,272,18
,33.098,33.092,0.002,0.001,0.004,OK,125440,3690496,47,47,10
,32.99,32.976,0.003,0.008,0.003,OK,196096,413696,135,135,25
,32.977,32.974,0.001,0,0.002,OK,71168,196608,26,26,13
,32.963,32.96,0.001,0,0.002,OK,314880,270336,174,174,11
,32.937,32.934,0.001,0.002,0.001,OK,1261568,1372160,534,534,15
,34.646,32.929,0.001,0.008,1.708,OK,1089024,23875584,11,11,23
,32.931,32.925,0.001,0.004,0.002,OK,207360,212992,209,209,21
,32.927,32.915,0.002,0.007,0.002,OK,1010688,1585152,1,1,22
,32.89,32.879,0.002,0.005,0.004,OK,119296,3874816,9,9,14
,32.827,32.824,0.001,0.001,0.001,OK,112128,192512,38,38,12
,32.887,32.818,0.002,0.006,0.062,OK,591360,483328,15,15,19
,32.852,32.789,0.001,0.005,0.056,OK,252416,102400,2,2,16
,32.907,32.768,0.001,0.001,0.137,OK,627200,585728,122,122,21
,32.886,32.766,0.001,0.008,0.111,OK,257024,262144,2,2,19
,32.741,32.733,0.001,0.001,0.006,OK,183296,0,30,30,11
,46.413,32.723,0.001,0.003,13.685,OK,6113280,2703360,765,765,12
,32.709,32.631,0.001,0.002,0.075,OK,1310208,3604480,6,6,26
,32.696,32.63,0.001,0.009,0.055,OK,147456,81920,111,111,13
,32.63,32.616,0.001,0.01,0.002,OK,325120,344064,1,1,13
,32.528,32.519,0.001,0.001,0.007,OK,162816,4120576,37,37,16
,32.472,32.464,0.001,0.006,0.002,OK,162816,274432,36,36,13
,32.632,32.451,0.001,0.014,0.166,OK,615936,598016,165,165,24
,34.707,32.45,0.001,0.003,2.253,OK,5017088,1654784,108,108,38
,32.445,32.443,0.001,0,0.001,OK,238592,126976,39,39,24
,32.615,32.441,0.001,0.014,0.159,OK,294912,122880,17,17,27
,32.34,32.33,0.001,0.004,0.004,OK,604160,303104,1,1,19
,32.422,32.309,0.001,0.004,0.108,OK,1008128,516096,6,6,17
,32.29,32.286,0.001,0.001,0.002,OK,107520,299008,48,48,12
,32.231,32.227,0,0.003,0.001,OK,580096,380928,510,510,18
,35.795,32.188,0.001,0.005,3.6,OK,270336,6062080,18,18,15
,32.345,32.184,0.001,0.007,0.153,OK,255488,106496,1,1,21
,32.187,32.176,0.001,0.008,0.002,OK,318976,188416,306,306,24
,32.503,32.175,0.001,0.007,0.32,OK,1264128,3231744,1,1,17
,32.184,32.169,0.001,0.001,0.013,OK,305664,479232,113,113,19
,32.079,32.076,0.001,0,0.002,OK,179712,327680,142,142,14
,32.126,32.066,0.001,0.006,0.053,OK,169472,294912,58,58,21
,32.195,32.036,0.001,0.006,0.152,OK,1004544,16658432,1,1,14
,34.624,32.012,0.002,0.008,2.602,OK,1421824,0,12,12,26
,31.993,31.99,0.001,0,0.001,OK,196096,106496,44,44,21
,31.948,31.936,0.002,0.008,0.002,OK,119808,3698688,42,42,15
,31.88,31.853,0.002,0.007,0.017,OK,77312,258048,20,20,14
,31.845,31.834,0.001,0.008,0.002,OK,374784,3555328,86,86,23
,31.971,31.807,0.001,0.009,0.153,OK,267264,389120,4,4,20
,33.005,31.797,0.001,0.005,1.202,OK,564224,557056,81,81,26
,31.834,31.792,0.003,0.008,0.031,OK,98816,290816,1,1,10
,31.762,31.758,0.001,0.001,0.003,OK,443392,385024,420,420,26
,31.801,31.749,0.002,0.007,0.043,OK,448512,520192,28,28,18
,60.398,31.736,0.001,0,28.661,OK,141824,2916352,14,14,10
,31.773,31.691,0.001,0.007,0.074,OK,406528,368640,57,57,15
,31.686,31.681,0.001,0.001,0.003,OK,112128,344064,42,42,12
,31.68,31.674,0.001,0.001,0.004,OK,156160,3801088,70,70,13
,31.685,31.648,0.002,0.01,0.025,OK,90624,61440,19,19,11
,31.685,31.634,0.003,0.008,0.04,OK,141312,73728,1,1,17
,166.437,31.598,0.002,0.029,134.808,OK,150528,2396160,3,3,7
,31.659,31.582,0.001,0.005,0.07,OK,256000,442368,52,52,19
,31.62,31.578,0.002,0.008,0.032,OK,131072,2838528,3,3,13
,31.56,31.556,0.001,0,0.002,OK,185344,389120,150,150,14
,31.544,31.54,0.001,0.001,0.001,OK,146432,4046848,32,32,10
,31.536,31.533,0.001,0.001,0.001,OK,117760,3665920,46,46,10
,31.498,31.471,0.001,0,0.025,OK,247296,491520,125,125,23
,33.469,31.462,0,0.005,2.002,OK,454144,7589888,49,49,18
,31.412,31.41,0,0,0.001,OK,2661888,1679360,342,342,32
,31.412,31.405,0.002,0.001,0.004,OK,152064,327680,26,26,15
,31.391,31.384,0.003,0.002,0.002,OK,99328,180224,29,29,12
,31.411,31.381,0.001,0.007,0.022,OK,76288,126976,6,6,11
,56.996,31.354,0.001,0,25.641,OK,343040,430080,60,60,19
,31.367,31.346,0.001,0.006,0.014,OK,73216,53248,1,1,9
,31.383,31.345,0.001,0.001,0.036,OK,134656,81920,20,20,15
,31.377,31.342,0.002,0.005,0.028,OK,351744,139264,9,9,21
,31.33,31.324,0.001,0.003,0.001,OK,139264,397312,33,33,12
,31.436,31.302,0.001,0.001,0.132,OK,133632,299008,53,53,8
,31.296,31.291,0.001,0.001,0.003,OK,90112,4034560,24,24,11
,31.281,31.28,0.001,0,0.001,OK,121344,274432,2,2,13
,31.299,31.236,0.001,0,0.061,OK,211456,3035136,21,21,19
,31.703,31.181,0.001,0.006,0.515,OK,1007616,3457024,3,3,23
,31.302,31.174,0.001,0.003,0.124,OK,474112,696320,112,112,19
,31.141,31.135,0.004,0.001,0.002,OK,52736,7163904,2,2,6
,31.153,31.126,0.001,0.004,0.021,OK,82944,262144,1,1,10
,31.16,31.121,0.001,0.006,0.032,OK,459264,434176,19,19,15
,31.16,31.102,0.001,0.01,0.047,OK,106496,299008,1,1,15
,31.141,31.102,0.001,0.005,0.033,OK,1027584,548864,14,14,16
,31.136,31.101,0.001,0.01,0.025,OK,67584,8425472,1,1,7
,31.144,31.059,0.001,0.005,0.079,OK,654848,0,37,37,24
,31.06,31.055,0.002,0.001,0.003,OK,415744,487424,134,134,15
,31.019,31.017,0.001,0.001,0.001,OK,205824,466944,93,93,20
,31.018,30.992,0.001,0.02,0.005,OK,268288,122880,4,4,18
,31.047,30.988,0.001,0.003,0.056,OK,390656,204800,124,124,20
,30.897,30.878,0.003,0.006,0.01,OK,91136,53248,20,20,14
,31.109,30.867,0.002,0.003,0.237,OK,5469184,978944,9,9,34
,1324.67,30.812,0.004,0.006,1293.847,OK,131584,4956160,35,35,14
,30.753,30.746,0.002,0.004,0.001,OK,914944,0,537,537,21
,30.751,30.744,0.001,0.004,0.001,OK,287232,401408,240,240,20
,33.01,30.74,0.001,0.01,2.259,OK,570368,9162752,15,15,17
,31.037,30.735,0.001,0.002,0.3,OK,2450944,843776,72,72,32
,30.74,30.725,0.001,0,0.014,OK,125440,237568,4,4,15
,30.729,30.722,0.001,0,0.006,OK,83456,65536,21,21,11
,30.737,30.72,0.001,0,0.015,OK,183808,327680,51,51,18
,30.834,30.718,0.001,0,0.114,OK,477184,4296704,557,557,26
,30.722,30.69,0.002,0.009,0.021,OK,81920,266240,1,1,15
,30.691,30.685,0.001,0.003,0.001,OK,145920,380928,60,60,16
,30.664,30.655,0.004,0.001,0.005,OK,318976,368640,69,69,16
,30.909,30.65,0.001,0.003,0.255,OK,1407488,524288,116,116,23
,30.653,30.645,0.001,0.005,0.002,OK,395264,438272,131,131,21
,30.937,30.607,0.001,0.005,0.324,OK,1337856,3235840,37,37,28
,30.616,30.606,0.001,0.006,0.002,OK,96256,204800,199,199,7
,33.649,30.599,0.001,0.007,3.042,OK,2668544,708608,32,32,21
,31.048,30.555,0.001,0.005,0.487,OK,235520,1101824,10,10,12
,30.586,30.544,0.002,0.008,0.031,OK,130048,3137536,1,1,12
,170.235,30.486,0.001,0.007,139.741,OK,143360,2527232,1,1,11
,30.472,30.46,0.001,0.008,0.003,OK,82432,675840,1,1,10
,30.439,30.436,0.001,0.001,0.001,OK,222208,126976,90,90,20
,30.432,30.427,0.001,0.003,0.001,OK,787456,2105344,419,419,14
,32.433,30.42,0.001,0.001,2.012,OK,300032,380928,19,19,13
,30.458,30.417,0.002,0.012,0.027,OK,98304,4038656,1,1,13
,30.529,30.396,0.001,0.008,0.124,OK,670208,0,229,229,28
,30.968,30.316,0.001,0.006,0.645,OK,921600,0,79,79,18
,30.638,30.282,0.001,0.009,0.346,OK,584704,3334144,9,9,24
,30.288,30.252,0.001,0.006,0.028,OK,175616,401408,1,1,13
,30.245,30.224,0.002,0.009,0.011,OK,55808,180224,1,1,9
,30.236,30.223,0.001,0.005,0.007,OK,150528,65536,30,30,14
,144.116,30.189,0.002,0.003,113.922,OK,187904,241664,5,5,15
,30.303,30.182,0.001,0.005,0.115,OK,676864,524288,13,13,33
,30.255,30.173,0.001,0.007,0.074,OK,134144,3649536,18,18,12
,30.17,30.165,0.002,0.002,0.001,OK,155648,3084288,3,3,9
,30.154,30.148,0.003,0.001,0.002,OK,235520,360448,118,118,19
,30.104,30.093,0.001,0.008,0.001,OK,311808,8589312,154,154,9
,30.11,30.059,0.002,0.014,0.035,OK,140288,196608,1,1,15
,30.066,30.056,0.001,0.001,0.009,OK,144896,9015296,22,22,11
,30.297,30.052,0.001,0.003,0.242,OK,504832,299008,108,108,19
,30.093,30.051,0.001,0.007,0.034,OK,171008,385024,1,1,13
,30.005,30.002,0.001,0,0.001,OK,190464,372736,146,146,13
,30.014,29.992,0.002,0.007,0.012,OK,88064,57344,1,1,13
,32.664,29.94,0.001,0.003,2.721,OK,6751744,1859584,438,438,34
,29.98,29.913,0,0.004,0.063,OK,113664,65536,17,17,11
,96.228,29.886,0.001,0.012,66.329,OK,190976,225280,1,1,9
,29.888,29.884,0.002,0.001,0.001,OK,88064,65536,1,1,11
,29.834,29.813,0.001,0.004,0.015,OK,73216,57344,1,1,9
,29.844,29.791,0.002,0.008,0.044,OK,231424,1646592,1,1,11
,30.69,29.744,0.002,0.001,0.943,OK,238592,155648,19,19,17
,29.709,29.705,0.001,0,0.002,OK,194560,3751936,134,134,15
,100.612,29.675,0.001,0.005,70.93,OK,674816,299008,23,23,26
,31.124,29.648,0.001,0.009,1.465,OK,168448,69632,30,30,15
,29.629,29.615,0.001,0.003,0.011,OK,301056,172032,15,15,16
,33.748,29.606,0.001,0.004,4.138,OK,3142656,1208320,314,314,48
,29.601,29.597,0.001,0.001,0.001,OK,50176,40960,1,1,5
,29.61,29.592,0.002,0.008,0.009,OK,71168,49152,1,1,14
,29.603,29.582,0.001,0.001,0.019,OK,69632,196608,1,1,12
,29.591,29.566,0.001,0.006,0.017,OK,260608,352256,20,20,16
,29.582,29.554,0.003,0.008,0.017,OK,86016,57344,1,1,13
,29.56,29.544,0.001,0.005,0.009,OK,177664,180224,5,5,15
,29.514,29.483,0.001,0.009,0.021,OK,161280,147456,59,59,15
,29.423,29.395,0.002,0.004,0.022,OK,154112,331776,2,2,13
,29.475,29.394,0.001,0.001,0.079,OK,426496,348160,92,92,15
,29.393,29.372,0.002,0.006,0.013,OK,70656,0,1,1,8
,30.084,29.369,0.001,0.004,0.711,OK,321536,442368,24,24,22
,29.396,29.355,0.001,0.001,0.039,OK,261120,4890624,19,19,14
,29.388,29.33,0.003,0.009,0.047,OK,97280,200704,1,1,16
,29.299,29.293,0.002,0.003,0.001,OK,188928,368640,8,8,14
,29.361,29.276,0.001,0.004,0.08,OK,887808,905216,319,319,16
,29.335,29.271,0.002,0.006,0.057,OK,203776,110592,19,19,17
,29.27,29.263,0.001,0.005,0.001,OK,3133440,6266880,37,37,24
,29.266,29.26,0.001,0.003,0.002,OK,477184,110592,17,17,13
,29.274,29.253,0.001,0.003,0.017,OK,1011200,413696,702,702,15
,29.242,29.236,0.001,0.003,0.002,OK,203264,135168,68,68,15
,29.242,29.213,0.001,0.002,0.026,OK,1233920,835584,280,280,35
,33.752,29.199,0.001,0.007,4.544,OK,176640,356352,1,1,10
,29.219,29.198,0.001,0.005,0.015,OK,148992,0,2,2,17
,29.334,29.141,0,0,0.192,OK,517632,421888,423,423,24
,29.122,29.118,0.001,0.001,0.001,OK,61952,319488,14,14,12
,29.118,29.115,0.001,0,0.001,OK,282112,393216,214,214,25
,29.218,29.093,0.005,0.008,0.111,OK,143872,749568,1,1,7
